Id  ,Title                                                                                                     ,Company_Name                                                                    ,Job                                                                                                        ,Place                                                                                                                                                                              ,Number_Employee ,Experience            ,Level                    ,Salary           ,Education   ,Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,Requirement                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Deadline   ,Source_Picture
 64 ,"Nhân Viên Kinh Doanh Thức Ăn Gia Súc"                                                                    ,"Công Ty TNHH Uni - President Việt Nam"                                         ,"Bán hàng - Kinh doanh / Chăm sóc khách hàng / Chăn nuôi - Thú y"                                          ,"Số 16-18, Đường Đt 743, Kcn Sóng Thần 2, Dĩ An, Bình Dương"                                                                                                                       ,             16 ,"Dưới 1 năm"          ,"Chuyên viên- nhân viên" ,"15 - 20 triệu"  ,"Trung cấp" ,"- Liên hệ, tìm kiếm khách hàng. - Xử lý việc đặt hàng, trả hàng. - Phân tích thị trường, lập kế hoạch đạt sản lượng mục tiêu. - Chăm sóc khách hàng hiện tại... - Các công việc liên quan khác sẽ trao đổi chi tiết trong quá trình phỏng vấn. Phân bổ khu vực phụ trách theo nhu cầu ứng viên. * Các khu vực phụ trách bao gồm: Bình Dương-Bình Phước, Đồng Nai, Tp.HCM-Long An, Tiền Giang-Bến Tre, Cần Thơ-Đồng Tháp, Đắk Lăk-Lâm Đồng."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"- Nam. - Tốt nghiệp từ Trung Cấp trở lên chuyên ngành chăn nuôi, thú y."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,15/01/2024 ,https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/05/24/images/162182902761.jpeg
 65 ,"Trợ Lý Kinh Doanh Biết Tiếng Trung (助理職位描述)"                                                       ,"Công Ty TNHH Wan Zhao Xing Enterprise"                                         ,"Hành chính - Thư ký / Bán hàng - Kinh doanh / Biên phiên dịch"                                            ,"158 Đường Số 18 - Phường Bình Trị Đông B - Quận Bình Tân - TP Hồ Chí Minh."                                                                                                       ,              2 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"10 - 18 triệu"  ,"Cao đẳng"  ,"1.	協助銷售代表負責銷售後勤工作,如編制合同,對客戶/供應商進行初步報價. 2.	協助貿易部門跟蹤訂單至出貨,對過程中出現的各種情況及時滙報上級,同時與客戶和相關部門進行溝通並妥善解決問題. 3.	做好採購與銷售相關的日常工作. 4.	維護好寫字樓內樣板冊整潔. 5.	辦理上級主管臨時交辦的各項工作. 6.	根據項目的工作計劃,在項目負責人的統一安排下完成任務. 7.	嚴格按照計劃要求及時提供協助資料, 做好配合工作. 8.	按照上級需求翻譯各類文本資料. 1. Hỗ trợ phòng kinh doanh về công việc hậu cần, như chuẩn bị hợp đồng mua bán và báo giá cho khách hàng/nhà cung cấp. 2. Hỗ trợ phòng kinh doanh theo dõi đơn hang, báo cáo kịp thời lên cấp trên về các tình huống phát sinh trong quá trình làm việc, đồng thời trao đổi với khách hàng hoặc nhà cung ứng và các bộ phận liên quan để giải quyết vấn đề chính xác. 3. Thực hiện công việc hàng ngày liên quan đến phòng kinh doanh. 4. Giữ gìn gọn gang sạch sẽ văn phòng Công ty. 5. Xử lý các nhiệm vụ khác nhau được cấp trên giao. 6. Theo kế hoạch dự án của công việc, hoàn thành nhiệm vụ theo sự sắp xếp thống nhất của cấp trên. 7. Cung cấp thông tin hỗ trợ kịp thời, đúng theo yêu cầu của kế hoạch và thực hiện tốt phối hợp công tác. 8. Biên dịch các tài liệu văn bản khác nhau theo nhu cầu của cấp trên cần."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"要求： 1.	大專以上學歷,形象好,氣質佳,有親和力,男女不限. 2.	具有水產行業銷售經驗者優先考慮,熟悉銷售相關流程。跟進銷售定單,處理與準確傳遞客戶/供應商的相關信息,有良好的溝通協調能力. 3.	具備較強的語言文字能力,按要求撰寫相關的報告和文件. Yêu cầu: 1.	Tốt nghiệp Cao đẳng trở lên, ngoại hình ưa nhìn sáng, khí chất tốt, dễ gần, không giới hạn giới tính. 2.	Ưu tiên người có kinh nghiệm trong ngành thủy sản và am hiểu các quy trình liên quan đến thương mại Quốc tế. Theo dõi các đơn đặt hàng, xử lý và cung cấp thông tin chính xác liên quan đến khách hàng/nhà cung ứng, đồng thời có kỹ năng giao tiếp và điều phối tốt. 3.	Có kỹ năng ngôn ngữ tốt, viết các báo cáo / kỹ năng viết các tài liệu liên quan theo yêu cầu. 1.工作經歷: 有相關工作經驗者优先錄取 2.語文條件: 越南文、中文、英文 1.Kinh nghiệm công việc: Ưu tiên có kinh nghiệm trong ngành 2.Yêu cầu ngôn ngữ: Tiếng Việt, Tiếng Trung, Tiếng Anh 技能要求: Yêu cầu kĩ năng: 1.	熟練使用辦公室軟體Word、PowerPoint、Excel 2.	良好的交談技巧 3.	有責任心,有團隊精神,並能在壓力下獨立完成工作. 4.	工作細心、認真負責、條理性強 1	Thông thạo phần mềm văn phòng Word、PowerPoint、Excel 2	kỹ năng đàm phán tốt 3	Có trách nhiệm, lạc quan, tích cực, hòa đồng 4	Cẩn thận, tận tâm, sắp xếp công việc tốt *依公司要求配合出差 Phối hợp đi công tác theo yêu cầu công ty khi cần thiết"                                                                                              ,31/12/2023 ,"https://cdn1.vieclam24h.vn/images/employer_avatar/2023/12/12/logo wao_170234740264.jpg"
 66 ,"Nhân Viên Thiết Kế Ngành In"                                                                             ,"Công Ty TNHH Quảng Cáo Và Truyền Thông Đại Dương"                              ,"Thông tin - Truyền thông - Quảng cáo / Xuất bản - In ấn / Thiết kế - Sáng tạo nghệ thuật"                 ,"190 Lạc Long Quân, Phường 3, Quận 11, TP Hồ Chí Minh"                                                                                                                             ,              3 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"7 - 14 triệu"   ,"Cao đẳng"  ,"Thiết kế đồ họa ( AI, Corel, phostoshop, indesign) mảng in ấn, File in offset Các công việc phát sinh (nếu có) của trưởng phòng thiết kế."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"Biết thiết kế đồ họa ( AI, Corel, phostoshop, indesign) Biết bình File in offset"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,15/01/2024 ,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/fac1042c4f5c4f9925bf56b1b3ee66b3_1506934372_logo_i_dng.jpeg
 67 ,"Kiến Trúc Sư"                                                                                            ,"Công Ty TNHH Tư Vấn Thiết Kế Kiểm Định Xây Dựng N.A.D"                         ,"Xây dựng / Kiến trúc - Thiết kế nội ngoại thất / Khoa học - Kỹ thuật"                                     ,"193/6/20 Đường số 20 - Phường 5 - Quận Gò Vấp - TP.Hồ Chí Minh"                                                                                                                   ,              2 ,"3 năm"               ,"Chuyên viên- nhân viên" ,"10 - 15 triệu"  ,"Đại học"   ,"Thiết kế và thẩm tra kiến trúc các công trình dân dụng và công nghiệp; Triển khai các hồ sơ thiết kế Cơ sở, thiết kế kỹ thuật và thi công; Phối hợp và làm việc với các bộ môn kỹ thuật liên quan: kết cấu, cơ điện, phòng cháy chữa cháy, chiếu sáng, cảnh quan, dự toán...;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"Trình độ: Tốt nghiệp đại học chuyên ngành kiến trúc; Ưu tiên ứng viên đã từng làm việc với công trình vốn nhà nước; Sử dụng thành thạo các phần mềm Photoshop, 3Dmax, Sketchup, AutoCad, vi tính văn phòng, các phần mềm chuyên ngành; Kỹ năng giao tiếp, làm việc tập thể tốt; Có kinh nghiệm, bằng cấp phù hợp và đã thực hiện công việc phù hợp Có kinh nghiệm tối thiểu 3 năm kinh nghiệm tính toán và triển khai kiến trúc (biết sử dụng phần mềm Revit)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,12/01/2024 ,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/83bec712b104321a602197b2d6f6ada8_1509416597_untitled.png
 68 ,"Giám Sát Công Trình Dân Dụng"                                                                            ,"Công Ty TNHH Tư Vấn Thiết Kế Kiểm Định Xây Dựng N.A.D"                         ,"Xây dựng / Kiến trúc - Thiết kế nội ngoại thất / Khoa học - Kỹ thuật"                                     ,"193/6/20 Đường số 20 - Phường 5 - Quận Gò Vấp - TP.Hồ Chí Minh"                                                                                                                   ,              2 ,"3 năm"               ,"Quản lý nhóm- giám sát" ,"10 - 15 triệu"  ,"Đại học"   ,"Giám sát công tác hiện trường của các nhà thầu thực hiện so với hồ sơ thiết kế, công tác an toàn lao động, vệ sinh môi trường, hồ sơ quản lý chất lượng, khối lượng Quản lý, giám sát, theo dõi tiến độ thi công tại công trình"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Trình độ: Tốt nghiệp đại học các chuyên ngành xây dựng dân dụng và công nghiệp, kỹ thuật xây dựng Kinh nghiệm: Tối thiểu 3 năm, ưu tiên ứng viên đã từng làm việc với công trình vốn Nhà nước Đam mê sáng tạo và không ngừng vươn lên Kỹ năng giao tiếp, làm việc tập thể tốt Chấp thuận giám sát công trình ở tỉnh"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,12/01/2024 ,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/83bec712b104321a602197b2d6f6ada8_1509416597_untitled.png
 69 ,"Kỹ Sư Thiết Kế Kết Cấu"                                                                                  ,"Công Ty TNHH Tư Vấn Thiết Kế Kiểm Định Xây Dựng N.A.D"                         ,"Xây dựng / Khoa học - Kỹ thuật"                                                                           ,"193/6/20 Đường số 20 - Phường 5 - Quận Gò Vấp - TP.Hồ Chí Minh"                                                                                                                   ,              2 ,"3 năm"               ,"Chuyên viên- nhân viên" ,"10 - 15 triệu"  ,"Đại học"   ,"Thiết kế và thẩm tra kết cấu các công trình dân dụng và công nghiệp Các công việc khác theo yêu cầu của cấp trên."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Trình độ: Tốt nghiệp đại học chuyên xây dựng dân dụng và công nghiệp; Ưu tiên ứng viên đã từng làm việc với công trình vốn nhà nước; - Sử dụng thành thạo phần mềm AutoCad, vi tính văn phòng, các phần mềm chuyên ngành như: Sap, Etabs, Safe, Ketcaushop, Katapro…; Đam mê sáng tạo và không ngừng vươn lên; Kỹ năng giao tiếp, làm việc tập thể tốt; Có khả năng trình bày. Có kinh nghiệm, bằng cấp phù hợp và đã thực hiện công việc phù hợp Có kinh nghiệm tối thiểu 3 năm kinh nghiệm tính toán và triển khai kết cấu (biết sử dụng phần mềm Revit)"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,12/01/2024 ,https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/83bec712b104321a602197b2d6f6ada8_1509416597_untitled.png
 70 ,"Kế Toán Thanh Toán"                                                                                      ,"Công Ty Cổ Phần Logistics Đông Á"                                              ,"Kế toán / Kiểm toán / Tài chính - Đầu tư - Chứng Khoán"                                                   ,"Số 28 Lô D, Đường Số 6, Khu dân cư Phú Mỹ, Phường Phú Mỹ, Quận 7, Thành phố Hồ Chí Minh"                                                                                          ,              3 ,"3 năm"               ,"Chuyên viên- nhân viên" ,"9 - 13 triệu"   ,"Đại học"   ,"- Quản lý, hạch toán các nghiệp vụ thu/ chi/ tạm ứng tiền mặt hoặc tiền gửi ngân hàng; - Lập, quản lý nợ vay, giải ngân, tất toán… các hợp đồng tín dụng, các khoản lãi (bao gồm lãi tiền gửi, tiền vay) ngân hàng. - Kiểm tra tính hóa đơn đầu vào/ đầu ra đúng quy định; - Đối chiếu số liệu với thủ quỹ, quản lý tạm ứng của nhân viên; - Các công việc khác được giao. - Thời gian làm việc: Từ thứ 2 đến sáng thứ 7 hàng tuần; Từ 8h00 đến 17h30 – nghỉ trưa từ 12h-13h30;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"- Tốt nghiệp Đại học chuyên ngành Tài chính, Kế toán; - Tối thiểu 3 năm kinh nghiệm trong ngành; - Vững nghiệp vụ kế toán; cẩn thận, tỉ mỉ và chịu khó trong công việc; - Thành thạo các kỹ năng tin học văn phòng"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,28/12/2023 ,https://cdn1.vieclam24h.vn/images/employer_avatar/2023/04/14/Untitled_168144225255.png
 71 ,"Nhân Viên Hành Chính Nhân Sự (Đi Làm Ngay)"                                                              ,"Công Ty Cổ Phần Dịch Vụ Bảo Vệ Đại Bảo Long"                                   ,"Nhân sự / Hành chính - Thư ký"                                                                            ,"Số 55 lô C1, đường Nguyễn Cảnh Dị, phường Đại Kim, quận Hoàng Mai, TP Hà Nội."                                                                                                    ,              1 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"8 - 10 triệu"   ,"Cao đẳng"  ,"- Công tác hành chính: + Soạn thảo và theo dõi hợp đồng khách hàng, đối tác của công ty và 1 số cv khác + Soạn thảo công văn, thông báo gửi khách hàng. + Soạn thảo quyết định liên quan đến nội bộ công ty - Công tác tuyển dụng: + Tuyển dụng nhân sự bảo vệ tại các mục tiêu thiếu của Công ty. + Phỏng vấn, làm thủ tục hợp đồng cho nhân viên bảo vệ + Có kế hoạch tuyển dụng nhân viên bảo vệ tăng cường, chính thức để đảm bảo đầy đủ nhân sự làm việc tại các mục tiêu bảo vệ của công ty + Lập danh sách, theo dõi nhân sự tại các mục tiêu bảo vệ của công ty + Báo cáo công việc định kỳ hàng tuần, hàng tháng"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"- Nam nữ, tuổi 24-40t - Yêu cầu: Tốt nghiệp ĐH, cao đẳng (không yêu cầu tốt nghiệp liên quan đến ngành nhân sự), có từ 6 tháng làm về tuyển dụng, nhanh nhẹn, hòa đồng. - Thời gian làm việc: 8h-17h hàng ngày (tháng nghỉ 6 ngày gôm 4 cn, 1 ngày thứ 7 và 1 ngày phép) - Ưu tiên người gần công ty - Chăm chỉ, cần người có trách nhiệm trong công việc"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,15/01/2024 ,https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5ec7537a2b5b1_1590121338.png
 72 ,"Nhân Viên Làm Hồ Sơ Thầu Thuốc Bệnh Viện (Đi Làm Ngay)"                                                  ,"Công Ty TNHH Dược Phẩm Mkt"                                                    ,"Y tế - Chăm sóc sức khỏe / Bán hàng - Kinh doanh"                                                         ,"272B Pasteur, Phường 8, Quận 3, TP.HCM"                                                                                                                                           ,              2 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"8 - 12 triệu"   ,"Cao đẳng"  ,"- Theo dõi các gói thầu của Bệnh viện. - Làm hồ sơ dự thầu. - Làm hợp đồng khi trúng thầu. - Theo dõi tiến độ bán hàng của các gói thầu đã trúng"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"- Tốt nghiệp cao đẳng trở lên. - Thành thạo các kỹ năng vi tính văn phòng. - Cẩn thận, chính xác, linh động, ham học hỏi, cầu tiến, thích nghi nhanh. - Có kinh nghiệm làm thầu ít nhất một năm."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,10/01/2024 ,https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2020/02/06/5834422_vieclam24h_1580979275.png
 73 ,"Quản Lý Cửa Hàng Thời Trang (Hà Nội)"                                                                    ,"Công Ty TNHH Gia Studios"                                                      ,"Chăm sóc khách hàng / Bán hàng - Kinh doanh / Bán sỉ - Bán lẻ - Quản lý cửa hàng"                         ,"11 Đường D2, 92 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam"                                                                                     ,             10 ,"1 năm"               ,"Quản lý cấp trung"      ,"10 - 20 triệu"  ,"Trung cấp" ,"- Giải quyết vấn đề cũng như xử lý các xung đột trong quan hệ lao động - Hỗ trợ và thúc đẩy nhân viên bán hàng đạt doanh số được giao - Duy trì và phát huy tinh thần làm việc tập thể của nhân viên trong Cửa hàng - Thông báo với người quản lý trực tiếp những vấn đề có thể gây ảnh hưởng xấu đến tình hình hoạt động kinh doanh của Cửa hàng - Có nhiệm vụ trực tiếp cũng như huấn luyện và bố trí nhân viên thực hiện việc bán hàng, trưng bày hàng hóa, kiểm kê... - Kiểm tra hàng ngày tất cả các sản phẩm hàng hóa, thiết bị, vật dụng trong Cửa hàng - Thực hiện theo chỉ đạo của cấp trên đồng thời đưa ra những đề xuất, sáng kiến nhằm đảm bảo đạt hoặc vượt chỉ tiêu bán hàng do Công ty đề ra. Địa chỉ làm việc: Đường Lý Thái Tổ, Quận Hoàn Kiếm, TP.Hà Nội"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"- Nam/Nữ, Tuổi: 22 đến 35, Ngoại hình ưa nhìn, Giao tiếp tốt - Có kinh nghiệm làm Quản lý cửa hàng hoặc Trợ lý cửa hàng ít nhất 1 năm. - Ưu tiên: ứng viên có kinh nghiệm làm trong lĩnh vực thời trang cao cấp. - Có khả năng làm việc độc lập, theo nhóm, chịu áp lực công việc cao. - Đam mê thời trang - Cầu tiến, năng động, độc lập trong công việc."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,09/01/2024 ,https://cdn1.vieclam24h.vn/tvn/images/default/2022/04/28/images/165112797140.png
 74 ,"Kỹ Sư Kinh Tế Xây Dựng"                                                                                  ,"Công Ty Cổ Phần Xây Dựng Số 1"                                                 ,"Xây dựng / Quản lý dự án / Kiến trúc - Thiết kế nội ngoại thất"                                           ,"Toà C1, chung cư Vinaconex 1 - 289A Khuất Duy Tiến, Trung Hoà, Cầu Giấy, Hà Nội"                                                                                                  ,              3 ,"1 năm"               ,"Chuyên viên- nhân viên" ,"10 - 15 triệu"  ,"Đại học"   ,"- Thực hiện các công việc lập Hồ sơ thanh quyết toán tại các công trình, dự án gồm: + Lập hồ sơ pháp lý, Hồ sơ quản lý chất lượng tại các công trình, dự án; + Lập hồ sơ về khối lượng, giá trị thanh quyết toán như: Bóc tách khối lượng,… - Thực hiện các công tác chuyên môn khác theo yêu cầu. -Địa điểm làm việc: Tại các công trình trên địa bàn phía Bắc như: Hà Nội, Bắc Ninh, Quảng Ninh, Hải Phòng,…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"- Trình độ: Tốt nghiệp hệ chính quy ngành Kinh tế xây dựng (Ưu tiên các trường: Đại học xây dựng Hà Nội, Đại học kiến trúc Hà Nội, Đại học giao thông vận tải,…); - Kinh nghiệm: 01 năm trở lên - Kỹ năng: Sử dụng thành thạo tin học văn phòng, Autocad; các phần mềm dự toán,…"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,15/01/2024 ,https://cdn1.vieclam24h.vn/company-logo-medium/102019/7bbdf38a623270bafc2eefbec8b5319e.jpg
